url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,25,4
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,10,1
/mrtj/cookiecutter-panorama/blob/main/README.md,6,2
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,4,3
/mrtj/cookiecutter-panorama/releases/tag/v0.1,3,2
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts,3,1
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/Makefile,2,1
/mrtj/cookiecutter-panorama/tree/github-repo-stats,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts/hooks,2,1
/mrtj/cookiecutter-panorama/actions,1,1
