url_path,views_total,views_unique
/mrtj/cookiecutter-panorama/tree/main,4,1
/mrtj/cookiecutter-panorama,3,2
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,3,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D,3,1
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/graphs/%7B%7Bcookiecutter.project_slug%7D%7D/graph.json,2,1
/mrtj/cookiecutter-panorama/blob/main/cookiecutter.json,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/graphs/%7B%7Bcookiecutter.project_slug%7D%7D,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages,2,1
/mrtj/cookiecutter-panorama/tree/main/.github,2,1
/mrtj/cookiecutter-panorama/tree/main/.github/workflows,2,1
