url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,14,5
/mrtj/cookiecutter-panorama/tree/github-repo-stats,4,1
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,3,3
/mrtj/cookiecutter-panorama/blob/main/README.md,3,2
/mrtj/cookiecutter-panorama/tree/github-repo-stats/mrtj/cookiecutter-panorama,3,1
/mrtj/cookiecutter-panorama/pulse,2,1
/mrtj/cookiecutter-panorama/actions,1,1
/mrtj/cookiecutter-panorama/actions/workflows/github-repo-stats.yml,1,1
/mrtj/cookiecutter-panorama/blob/main/.github/workflows/github-repo-stats.yml,1,1
/mrtj/cookiecutter-panorama/commit/000df9b4f4e2b143e4057bf0a18b9733637e2525,1,1
