url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,16,6
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,5,3
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,5,2
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages/123456789012-%7B%7Bcookiecutter.code_package_name%7D%7D-%7B%7Bcookiecutter.code_package_version%7D%7D/src/app.py,1,1
/mrtj/cookiecutter-panorama/blob/main/.github/workflows/github-repo-stats.yml,1,1
/mrtj/cookiecutter-panorama/blob/main/README.md,1,1
/mrtj/cookiecutter-panorama/commit/35cef3148299df0a11c3217124299e40d0fc9d61,1,1
/mrtj/cookiecutter-panorama/commits/main,1,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages/123456789012-%7B%7Bcookiecutter.code_package_name%7D%7D-%7B%7Bcookiecutter.code_package_version%7D%7D/src,1,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/models,1,1
