url_path,views_total,views_unique
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,29,5
/mrtj/cookiecutter-panorama/blob/main/README.md,24,9
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,20,1
/mrtj/cookiecutter-panorama/tree/main,4,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages/123456789012-%7B%7Bcookiecutter.code_package_name%7D%7D-%7B%7Bcookiecutter.code_package_version%7D%7D/src,4,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/models,4,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts,4,1
/mrtj/cookiecutter-panorama,3,2
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/graphs/%7B%7Bcookiecutter.project_slug%7D%7D/graph.json,2,1
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages/123456789012-%7B%7Bcookiecutter.code_package_name%7D%7D-%7B%7Bcookiecutter.code_package_version%7D%7D/src/app.py,2,1
