url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,10,5
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,4,2
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,1,1
/mrtj/cookiecutter-panorama/blob/main/.github/workflows/github-repo-stats.yml,1,1
/mrtj/cookiecutter-panorama/blob/main/README.md,1,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/models,1,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts,1,1
/mrtj/cookiecutter-panorama/tree/main/.github/workflows,1,1
