url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,17,5
/mrtj/cookiecutter-panorama/blob/main/README.md,4,2
/mrtj/cookiecutter-panorama/tree/github-repo-stats,4,1
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,3,3
/mrtj/cookiecutter-panorama/releases/tag/v0.1,3,2
/mrtj/cookiecutter-panorama/tree/github-repo-stats/mrtj/cookiecutter-panorama,3,1
/mrtj/cookiecutter-panorama/pulse,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/scripts/hooks,2,1
